epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.202,1.50055,2.58279,1.48369,0.81659,0.73134,0.78685,0.43062,1.47315,1.71244,1.52303,0.00042,0.00042,0.00042
2,10.357,1.31261,1.31066,1.33385,0.52189,0.60284,0.55955,0.34139,1.48067,2.09653,1.64575,0.000842972,0.000842972,0.000842972
3,15.4571,1.39649,1.11427,1.43832,0.48201,0.58334,0.51691,0.26955,1.77425,4.02108,2.02047,0.00124852,0.00124852,0.00124852
4,20.5497,1.42323,1.0024,1.48611,0.65718,0.62687,0.65499,0.35124,1.50504,2.59402,1.77722,0.00163664,0.00163664,0.00163664
5,25.4925,1.42836,0.97119,1.44647,0.62426,0.56716,0.64348,0.31102,1.69937,2.35855,2.23904,0.0018416,0.0018416,0.0018416
6,30.4844,1.31317,0.91844,1.3758,0.63591,0.61194,0.55808,0.2634,1.97971,2.04252,2.09238,0.001802,0.001802,0.001802
7,35.3518,1.38421,0.911,1.41314,0.5969,0.70149,0.64266,0.31626,1.87087,2.37951,2.12514,0.0017624,0.0017624,0.0017624
8,40.1455,1.30595,0.88672,1.37898,0.66121,0.78654,0.71604,0.34638,1.68759,2.26946,1.96412,0.0017228,0.0017228,0.0017228
9,45.0844,1.31965,0.91898,1.40197,0.81463,0.78713,0.83718,0.50182,1.47941,1.65977,1.74323,0.0016832,0.0016832,0.0016832
10,49.9719,1.35018,0.86348,1.38806,0.76547,0.74627,0.80552,0.39726,1.72607,1.42158,1.93747,0.0016436,0.0016436,0.0016436
11,54.9652,1.30619,0.82335,1.39093,0.87199,0.91509,0.94431,0.51313,1.50219,0.94902,1.75096,0.001604,0.001604,0.001604
12,59.832,1.2946,0.82244,1.36207,0.79405,0.80563,0.84115,0.46895,1.5463,0.88452,1.78298,0.0015644,0.0015644,0.0015644
13,64.635,1.25052,0.82298,1.34557,0.93701,0.83582,0.93824,0.5852,1.31789,0.78419,1.61525,0.0015248,0.0015248,0.0015248
14,69.6472,1.28072,0.80194,1.33541,0.77023,0.74627,0.78837,0.44908,1.54444,1.11412,1.7646,0.0014852,0.0014852,0.0014852
15,74.5378,1.30471,0.83483,1.37598,0.86224,0.84083,0.92667,0.58551,1.25502,1.05779,1.51615,0.0014456,0.0014456,0.0014456
16,79.3558,1.21063,0.75262,1.30013,0.95961,0.79104,0.94108,0.59053,1.32063,0.93847,1.59956,0.001406,0.001406,0.001406
17,84.173,1.23452,0.78331,1.33093,0.92345,0.90035,0.95719,0.64914,1.25916,0.72068,1.51249,0.0013664,0.0013664,0.0013664
18,89.0119,1.20927,0.75142,1.33727,0.96181,0.91045,0.96692,0.67232,1.14717,0.62474,1.42472,0.0013268,0.0013268,0.0013268
19,93.8409,1.18592,0.7319,1.28658,0.9661,0.85058,0.94243,0.66086,1.16239,0.68896,1.43126,0.0012872,0.0012872,0.0012872
20,98.6185,1.19333,0.72203,1.30912,0.82451,0.76119,0.82343,0.49429,1.42422,0.81594,1.60065,0.0012476,0.0012476,0.0012476
